Feature,Importance,Feature Group,Feature Level,Missing values,Highest Correlated Feature (Correlation Value)
age_of_onset,29.0,age_of_onset,pre-diagnosis,0 (0.0%),Others (0.17
country,26.0,country,pre-diagnosis,0 (0.0%),Not_Reported-social_risk (0.51
bmi,21.0,bmi,pre-diagnosis,2475 (30.6%),Diabetes (0.15
number_of_daily_contacts,13.0,number_of_daily_contacts,pre-diagnosis,2887 (35.7%),Capreomycin (0.17
education,12.0,education,pre-diagnosis,0 (0.0%),genexpert_test (0.32
employment,8.0,employment,pre-diagnosis,369 (4.6%),education (0.28
Documented MDR contact,7.0,social_risk_factors,pre-diagnosis,0 (0.0%),number_of_daily_contacts (0.11
Patient alcohol abuse,5.0,social_risk_factors,pre-diagnosis,0 (0.0%),Current smoker (0.48
Ex prisoner,4.0,social_risk_factors,pre-diagnosis,0 (0.0%),Hepatitis C (0.22
Homeless,4.0,social_risk_factors,pre-diagnosis,0 (0.0%),Patient alcohol abuse (0.15
gender,4.0,gender,pre-diagnosis,0 (0.0%),Not_Reported-social_risk (0.2
Worked abroad,3.0,social_risk_factors,pre-diagnosis,0 (0.0%),country (0.12
Immigrants,3.0,social_risk_factors,pre-diagnosis,0 (0.0%),Gatifloxacin 0.5 (0.16
Current smoker,1.0,social_risk_factors,pre-diagnosis,0 (0.0%),Patient alcohol abuse (0.48
Patient drug abuse,1.0,social_risk_factors,pre-diagnosis,0 (0.0%),Hepatitis C (0.37
Patient alcohol abuse not available/unknown,1.0,social_risk_factors,pre-diagnosis,0 (0.0%),Patient smoking data not available/unknown (0.7
Not_Reported-social_risk,1.0,social_risk_factors,pre-diagnosis,0 (0.0%),country (0.51
type_of_resistance,18.0,type_of_resistance,post-diagnosis,0 (0.0%),genexpert_test (0.7
case_definition,12.0,case_definition,post-diagnosis,0 (0.0%),Isoniazid (0.29
Negative,9.0,culture,post-diagnosis,0 (0.0%),Clofazimine (0.36
HIV,4.0,comobidity,post-diagnosis,0 (0.0%),Cotrimoxazol preventive (0.49
lineage2,4.0,main_lineage,post-diagnosis,0 (0.0%),p-aminosalicylic acid (0.27
Unknown_result-culture,4.0,culture,post-diagnosis,0 (0.0%),Negative (0.16
Nonspecific microflora,4.0,culture,post-diagnosis,0 (0.0%),Bedaquiline (0.22
Hepatitis C,4.0,comobidity,post-diagnosis,0 (0.0%),Patient drug abuse (0.37
genexpert_test,4.0,genexpert_test,post-diagnosis,2489 (30.8%),type_of_resistance (0.7
lineage2-lineage4,4.0,main_lineage,post-diagnosis,0 (0.0%),Not specified (0.06
Not_reported-Comorbidity,3.0,comobidity,post-diagnosis,0 (0.0%),Rifampicin (0.4
COVID-19,3.0,comobidity,post-diagnosis,0 (0.0%),A19.1 (0.12
Not specified,2.0,comobidity,post-diagnosis,0 (0.0%),Prothionamide (0.26
100 to 200,2.0,culture,post-diagnosis,0 (0.0%),type_of_resistance (0.16
A19.8,2.0,diagnosis_code,post-diagnosis,0 (0.0%),Antiretroviral therapy (0.29
A16.0,2.0,diagnosis_code,post-diagnosis,0 (0.0%),More than 200 (0.14
