iter	Passed	Remaining
0	22	33638
1	47	35210
2	71	35813
3	95	35773
4	120	36052
5	145	36330
6	172	36699
7	195	36438
8	218	36245
9	243	36268
10	266	36097
11	290	36054
12	313	35845
13	337	35827
14	360	35719
15	384	35639
16	407	35520
17	431	35518
18	456	35544
19	480	35576
20	503	35484
21	528	35538
22	552	35466
23	574	35312
24	597	35240
25	621	35231
26	643	35104
27	666	35055
28	689	34958
29	712	34920
30	735	34860
31	760	34906
32	783	34813
33	806	34781
34	830	34779
35	853	34717
36	876	34647
37	899	34620
38	923	34584
39	946	34542
40	969	34502
41	992	34469
42	1015	34418
43	1040	34433
44	1063	34381
45	1084	34279
46	1108	34259
47	1131	34228
48	1153	34149
49	1176	34114
50	1199	34092
51	1222	34041
52	1243	33937
53	1266	33916
54	1288	33852
55	1310	33783
56	1332	33737
57	1353	33661
58	1375	33605
59	1397	33547
60	1419	33491
61	1442	33454
62	1466	33438
63	1487	33380
64	1509	33325
65	1532	33301
66	1555	33265
67	1577	33214
68	1598	33146
69	1620	33107
70	1643	33076
71	1664	33012
72	1689	33028
73	1714	33035
74	1737	33004
75	1760	32977
76	1780	32910
77	1802	32859
78	1824	32825
79	1847	32791
80	1869	32747
81	1891	32708
82	1914	32687
83	1939	32699
84	1962	32674
85	1986	32656
86	2009	32631
87	2030	32581
88	2051	32518
89	2073	32482
90	2093	32419
91	2115	32370
92	2136	32329
93	2157	32270
94	2180	32247
95	2201	32197
96	2220	32113
97	2242	32088
98	2264	32047
99	2286	32007
100	2309	31987
101	2331	31949
102	2352	31911
103	2373	31859
104	2392	31786
105	2416	31781
106	2441	31781
107	2464	31761
108	2484	31708
109	2505	31659
110	2527	31633
111	2549	31600
112	2568	31522
113	2590	31494
114	2608	31413
115	2627	31345
116	2646	31287
117	2670	31277
118	2690	31225
119	2712	31190
120	2730	31116
121	2753	31097
122	2762	30921
123	2784	30903
124	2804	30849
125	2829	30854
126	2849	30809
127	2872	30793
128	2894	30763
129	2917	30750
130	2934	30667
131	2955	30629
132	2977	30603
133	3000	30588
134	3015	30485
135	3035	30440
136	3056	30404
137	3065	30257
138	3085	30206
139	3098	30101
140	3121	30087
141	3145	30083
